station_id,stationname,lat,lon,height
06201,D15-FA-1,54.3256,2.9358,42.7
06203,P11-B,52.36,3.3417,41.84
06204,K14-FA-1C,53.2694,3.6278,41.8
06205,A12-CPP,55.3992,3.8103,48.35
06206,F16-A,54.1167,4.0122,43.4
06207,L9-FF-1,53.6144,4.9603,45.31
06208,AWG-1,53.4917,5.9417,40.5
06209,IJMOND WP,52.4636,4.5175,0.0
06210,VALKENBURG VK,52.1703,4.4294,-0.2
06211,J6-A,53.8242,2.9453,45.7
06212,HOORN-A,52.9181,4.1503,50.9
06213,Hollandse Kust Noord,52.6978,4.2933,39.66
06214,BG-OHVS2,54.0369,6.0417,43.56
06215,VOORSCHOTEN AWS,52.1397,4.4364,-1.15
06216,Hollandse Kust Zuid Alfa (HKZA),52.3194,4.0422,44.0
06218,Hollandse Kust West Alpha,52.6797,3.8044,40.77
06225,IJMUIDEN WP,52.4622,4.555,4.4
06229,TEXELHORS WP,52.995,4.72,1.0
06233,Assendelft BTP,52.4819,4.7258,-1.6
06235,DE KOOY VK,52.9269,4.7811,0.57
06236,Muiden BTP,52.3353,5.0922,-0.9
06237,Nieuw Vennep BTP,52.255,4.6478,-4.8
06238,Nieuwkoop BTP,52.1514,4.765,-5.77
06239,F3-FB-1,54.8539,4.6961,50.6
06240,AMSTERDAM/SCHIPHOL AP,52.3172,4.7897,-3.87
06242,VLIELAND,53.24,4.9208,1.72
06248,WIJDENES WP,52.6325,5.1736,0.8
06249,BERKHOUT AWS,52.6428,4.9789,-2.4
06251,TERSCHELLING HOORN AWS,53.3911,5.3458,0.73
06252,K13-A,53.2178,3.2203,37.67
06257,WIJK AAN ZEE AWS,52.5053,4.6031,8.5
06258,HOUTRIBDIJK WP,52.6481,5.4006,7.25
06260,DE BILT AWS,52.0989,5.1797,1.9
06267,STAVOREN AWS,52.8967,5.3833,-1.3
06269,LELYSTAD AP,52.4483,5.5081,-4.52
06270,LEEUWARDEN,53.2231,5.7517,0.27
06273,MARKNESSE AWS,52.7019,5.8875,-3.35
06275,DEELEN,52.0547,5.8722,45.23
06277,LAUWERSOOG AWS,53.4117,6.1992,2.9
06278,HEINO AWS,52.4344,6.2589,3.6
06279,HOOGEVEEN AWS,52.7489,6.5731,15.82
06280,GRONINGEN AP EELDE,53.1236,6.5847,3.23
06283,HUPSEL AWS,52.0678,6.6567,29.07
06285,HUIBERTGAT WP,53.5739,6.3983,0.0
06286,NIEUW BEERTA AWS,53.1944,7.1492,-0.2
06290,TWENTHE AWS,52.2731,6.8908,33.02
06308,CADZAND WP,51.38,3.3792,0.0
06310,VLISSINGEN AWS,51.4414,3.5958,8.03
06311,HOOFDPLAAT WP,51.3789,3.6719,0.0
06312,OOSTERSCHELDE WP,51.7667,3.6217,0.0
06313,VLAKTE VAN DE RAAN,51.5036,3.2419,0.0
06315,HANSWEERT,51.4458,3.9975,0.0
06316,OOSTERSCHELDE 4,51.6558,3.6939,0.0
06317,BORSSELE ALFA (BSA),51.7,3.0567,43.42
06319,WESTDORPE AWS,51.2247,3.8611,1.68
06320,LICHTEILAND GOEREE,51.9258,3.67,22.0
06321,EURO PLATFORM,51.9978,3.275,19.0
06323,WILHELMINADORP AWS,51.5258,3.8836,1.65
06324,STAVENISSE,51.5956,4.0061,0.0
06330,HOEK VAN HOLLAND AWS,51.9911,4.1217,11.86
06331,MAROLLEGAT,51.4786,4.1925,0.0
06340,WOENSDRECHT,51.4478,4.3419,15.04
06343,ROTTERDAM GEULHAVEN,51.8919,4.3125,3.5
06344,ROTTERDAM THE HAGUE AP,51.9606,4.4469,-5.14
06348,CABAUW TOWER AWS,51.9692,4.9258,-0.71
06350,GILZE RIJEN,51.565,4.9353,11.95
06356,HERWIJNEN AWS,51.8578,5.1453,0.66
06370,EINDHOVEN AP,51.4497,5.3769,20.69
06375,VOLKEL,51.6586,5.7067,19.85
06377,ELL AWS,51.1967,5.7625,30.0
06380,MAASTRICHT AACHEN AP,50.9053,5.7619,112.72
06391,ARCEN AWS,51.4972,6.1961,19.5
06392,Horst,51.4869,6.0561,21.88
78871,"JUANCHO E. YRAUSQUIN AIRPORT, SABA",17.6461,-63.2208,31.0
78873,"F.D. ROOSEVELT AIRPORT, ST. EUSTATIUS",17.4956,-62.9828,36.02
78990,"FLAMINGO AIRPORT, BONAIRE",12.13,-68.2758,2.11
