start_year,end_year,fx_present_share_threshold,n_stations_balanced,years_in_window,station_ids
1951,2026,0.8,1,76,06260
1951,2026,0.9,1,76,06260
1951,2026,0.95,1,76,06260
1961,2026,0.8,1,66,06260
1961,2026,0.9,1,66,06260
1961,2026,0.95,1,66,06260
1971,2026,0.8,13,56,"06235,06240,06260,06270,06275,06280,06290,06310,06344,06350,06370,06375,06380"
1971,2026,0.9,12,56,"06235,06240,06260,06270,06275,06280,06290,06344,06350,06370,06375,06380"
1971,2026,0.95,12,56,"06235,06240,06260,06270,06275,06280,06290,06344,06350,06370,06375,06380"
1981,2026,0.8,14,46,"06235,06240,06260,06270,06275,06280,06290,06310,06330,06344,06350,06370,06375,06380"
1981,2026,0.9,13,46,"06235,06240,06260,06270,06275,06280,06290,06310,06344,06350,06370,06375,06380"
1981,2026,0.95,13,46,"06235,06240,06260,06270,06275,06280,06290,06310,06344,06350,06370,06375,06380"
1991,2026,0.8,25,36,"06225,06235,06240,06260,06269,06270,06273,06275,06277,06280,06283,06286,06290,06310,06319,06320,06330,06343,06344,06348,06350,06356,06370,06375,06380"
1991,2026,0.9,25,36,"06225,06235,06240,06260,06269,06270,06273,06275,06277,06280,06283,06286,06290,06310,06319,06320,06330,06343,06344,06348,06350,06356,06370,06375,06380"
1991,2026,0.95,22,36,"06225,06235,06240,06260,06269,06270,06273,06275,06277,06280,06283,06286,06290,06310,06319,06330,06344,06350,06356,06370,06375,06380"
2001,2026,0.8,38,26,"06209,06225,06235,06240,06242,06248,06249,06251,06260,06267,06269,06270,06273,06275,06277,06278,06279,06280,06283,06286,06290,06310,06315,06319,06320,06321,06324,06330,06340,06343,06344,06348,06350,06356,06370,06375,06377,06380"
2001,2026,0.9,36,26,"06225,06235,06240,06242,06248,06249,06251,06260,06267,06269,06270,06273,06275,06277,06278,06279,06280,06283,06286,06290,06310,06315,06319,06320,06324,06330,06340,06343,06344,06348,06350,06356,06370,06375,06377,06380"
2001,2026,0.95,32,26,"06225,06235,06240,06248,06249,06251,06260,06267,06269,06270,06273,06275,06277,06278,06279,06280,06283,06286,06290,06310,06319,06324,06330,06340,06344,06348,06350,06356,06370,06375,06377,06380"
