start_year,end_year,min_valid_day_share,season_requirement,n_stations_balanced,years_in_window,n_pairs,station_ids
1951,2025,0.8,DJF,0,75,0,
1951,2025,0.8,JJA,0,75,0,
1951,2025,0.8,DJF_and_JJA,0,75,0,
1951,2025,0.9,DJF,0,75,0,
1951,2025,0.9,JJA,0,75,0,
1951,2025,0.9,DJF_and_JJA,0,75,0,
1951,2025,0.95,DJF,0,75,0,
1951,2025,0.95,JJA,0,75,0,
1951,2025,0.95,DJF_and_JJA,0,75,0,
1961,2025,0.8,DJF,0,65,0,
1961,2025,0.8,JJA,0,65,0,
1961,2025,0.8,DJF_and_JJA,0,65,0,
1961,2025,0.9,DJF,0,65,0,
1961,2025,0.9,JJA,0,65,0,
1961,2025,0.9,DJF_and_JJA,0,65,0,
1961,2025,0.95,DJF,0,65,0,
1961,2025,0.95,JJA,0,65,0,
1961,2025,0.95,DJF_and_JJA,0,65,0,
1971,2025,0.8,DJF,0,55,0,
1971,2025,0.8,JJA,0,55,0,
1971,2025,0.8,DJF_and_JJA,0,55,0,
1971,2025,0.9,DJF,0,55,0,
1971,2025,0.9,JJA,0,55,0,
1971,2025,0.9,DJF_and_JJA,0,55,0,
1971,2025,0.95,DJF,0,55,0,
1971,2025,0.95,JJA,0,55,0,
1971,2025,0.95,DJF_and_JJA,0,55,0,
1981,2025,0.8,DJF,0,45,0,
1981,2025,0.8,JJA,0,45,0,
1981,2025,0.8,DJF_and_JJA,0,45,0,
1981,2025,0.9,DJF,0,45,0,
1981,2025,0.9,JJA,0,45,0,
1981,2025,0.9,DJF_and_JJA,0,45,0,
1981,2025,0.95,DJF,0,45,0,
1981,2025,0.95,JJA,0,45,0,
1981,2025,0.95,DJF_and_JJA,0,45,0,
1991,2025,0.8,DJF,25,35,300,"06225,06235,06240,06260,06269,06270,06273,06275,06280,06283,06286,06290,06310,06312,06316,06320,06330,06344,06348,06350,06356,06370,06375,06380,06391"
1991,2025,0.8,JJA,0,35,0,
1991,2025,0.8,DJF_and_JJA,0,35,0,
1991,2025,0.9,DJF,23,35,253,"06225,06235,06240,06260,06269,06270,06273,06275,06280,06283,06286,06290,06310,06320,06330,06344,06348,06350,06356,06370,06375,06380,06391"
1991,2025,0.9,JJA,0,35,0,
1991,2025,0.9,DJF_and_JJA,0,35,0,
1991,2025,0.95,DJF,16,35,120,"06235,06240,06260,06270,06273,06280,06283,06290,06310,06330,06344,06350,06356,06370,06380,06391"
1991,2025,0.95,JJA,0,35,0,
1991,2025,0.95,DJF_and_JJA,0,35,0,
2001,2025,0.8,DJF,40,25,780,"06225,06235,06240,06242,06248,06249,06251,06252,06260,06267,06269,06270,06273,06275,06277,06278,06279,06280,06283,06286,06290,06310,06312,06315,06316,06319,06320,06324,06330,06340,06343,06344,06348,06350,06356,06370,06375,06377,06380,06391"
2001,2025,0.8,JJA,0,25,0,
2001,2025,0.8,DJF_and_JJA,0,25,0,
2001,2025,0.9,DJF,38,25,703,"06225,06235,06240,06242,06248,06249,06251,06252,06260,06267,06269,06270,06273,06275,06277,06278,06279,06280,06283,06286,06290,06310,06315,06319,06320,06324,06330,06340,06343,06344,06348,06350,06356,06370,06375,06377,06380,06391"
2001,2025,0.9,JJA,0,25,0,
2001,2025,0.9,DJF_and_JJA,0,25,0,
2001,2025,0.95,DJF,35,25,595,"06225,06235,06240,06248,06249,06260,06267,06269,06270,06273,06275,06277,06278,06279,06280,06283,06286,06290,06310,06315,06319,06320,06324,06330,06340,06343,06344,06348,06350,06356,06370,06375,06377,06380,06391"
2001,2025,0.95,JJA,0,25,0,
2001,2025,0.95,DJF_and_JJA,0,25,0,
