station,season,season_year,n_station_days_observed,n_valid_days,n_fx_hours_present,n_hour_rows,n_days_expected,valid_day_share,observed_day_share,fx_hour_share_within_observed_days
06201,DJF,1991,0,0,0,0,90,0.0,0.0,
06201,DJF,1992,0,0,0,0,91,0.0,0.0,
06201,DJF,1993,0,0,0,0,90,0.0,0.0,
06201,DJF,1994,0,0,0,0,90,0.0,0.0,
06201,DJF,1995,0,0,0,0,90,0.0,0.0,
06201,DJF,1996,0,0,0,0,91,0.0,0.0,
06201,DJF,1997,0,0,0,0,90,0.0,0.0,
06201,DJF,1998,0,0,0,0,90,0.0,0.0,
06201,DJF,1999,0,0,0,0,90,0.0,0.0,
06201,DJF,2000,0,0,0,0,91,0.0,0.0,
06201,DJF,2001,0,0,0,0,90,0.0,0.0,
06201,DJF,2002,0,0,0,0,90,0.0,0.0,
06201,DJF,2003,0,0,0,0,90,0.0,0.0,
06201,DJF,2004,0,0,0,0,91,0.0,0.0,
06201,DJF,2005,0,0,0,0,90,0.0,0.0,
06201,DJF,2006,0,0,0,0,90,0.0,0.0,
06201,DJF,2007,0,0,0,0,90,0.0,0.0,
06201,DJF,2008,0,0,0,0,91,0.0,0.0,
06201,DJF,2009,0,0,0,0,90,0.0,0.0,
06201,DJF,2010,90,90,2159,2159,90,1.0,1.0,1.0
06201,DJF,2011,90,90,2159,2159,90,1.0,1.0,1.0
06201,DJF,2012,91,91,2183,2183,91,1.0,1.0,1.0
06201,DJF,2013,90,90,2159,2159,90,1.0,1.0,1.0
06201,DJF,2014,90,90,2159,2159,90,1.0,1.0,1.0
06201,DJF,2015,90,90,2159,2159,90,1.0,1.0,1.0
06201,DJF,2016,91,91,2183,2183,91,1.0,1.0,1.0
06201,DJF,2017,90,90,2159,2159,90,1.0,1.0,1.0
06201,DJF,2018,90,90,2159,2159,90,1.0,1.0,1.0
06201,DJF,2019,90,89,2140,2159,90,0.9888888888888889,1.0,0.9911996294580825
06201,DJF,2020,91,91,2183,2183,91,1.0,1.0,1.0
06201,DJF,2021,90,90,2159,2159,90,1.0,1.0,1.0
06201,DJF,2022,90,90,2159,2159,90,1.0,1.0,1.0
06201,DJF,2023,90,90,2159,2159,90,1.0,1.0,1.0
06201,DJF,2024,91,91,2183,2183,91,1.0,1.0,1.0
06201,DJF,2025,90,74,1823,2159,90,0.8222222222222222,1.0,0.8443723946271422
06201,JJA,1991,0,0,0,0,92,0.0,0.0,
06201,JJA,1992,0,0,0,0,92,0.0,0.0,
06201,JJA,1993,0,0,0,0,92,0.0,0.0,
06201,JJA,1994,0,0,0,0,92,0.0,0.0,
06201,JJA,1995,0,0,0,0,92,0.0,0.0,
06201,JJA,1996,0,0,0,0,92,0.0,0.0,
06201,JJA,1997,0,0,0,0,92,0.0,0.0,
06201,JJA,1998,0,0,0,0,92,0.0,0.0,
06201,JJA,1999,0,0,0,0,92,0.0,0.0,
06201,JJA,2000,0,0,0,0,92,0.0,0.0,
06201,JJA,2001,0,0,0,0,92,0.0,0.0,
06201,JJA,2002,0,0,0,0,92,0.0,0.0,
06201,JJA,2003,0,0,0,0,92,0.0,0.0,
06201,JJA,2004,0,0,0,0,92,0.0,0.0,
06201,JJA,2005,0,0,0,0,92,0.0,0.0,
06201,JJA,2006,0,0,0,0,92,0.0,0.0,
06201,JJA,2007,0,0,0,0,92,0.0,0.0,
06201,JJA,2008,0,0,0,0,92,0.0,0.0,
06201,JJA,2009,92,92,2201,2207,92,1.0,1.0,0.9972813774354327
06201,JJA,2010,92,81,1958,2207,92,0.8804347826086957,1.0,0.8871771635704576
06201,JJA,2011,92,92,2207,2207,92,1.0,1.0,1.0
06201,JJA,2012,92,21,515,2207,92,0.22826086956521738,1.0,0.23334843679202538
06201,JJA,2013,92,92,2203,2207,92,1.0,1.0,0.9981875849569551
06201,JJA,2014,92,92,2207,2207,92,1.0,1.0,1.0
06201,JJA,2015,92,92,2207,2207,92,1.0,1.0,1.0
06201,JJA,2016,92,92,2207,2207,92,1.0,1.0,1.0
06201,JJA,2017,92,92,2207,2207,92,1.0,1.0,1.0
06201,JJA,2018,92,92,2207,2207,92,1.0,1.0,1.0
06201,JJA,2019,92,92,2207,2207,92,1.0,1.0,1.0
06201,JJA,2020,92,92,2207,2207,92,1.0,1.0,1.0
06201,JJA,2021,92,92,2207,2207,92,1.0,1.0,1.0
06201,JJA,2022,92,91,2200,2207,92,0.9891304347826086,1.0,0.9968282736746715
06201,JJA,2023,92,92,2207,2207,92,1.0,1.0,1.0
06201,JJA,2024,92,92,2207,2207,92,1.0,1.0,1.0
06201,JJA,2025,92,21,544,2207,92,0.22826086956521738,1.0,0.2464884458541006
06203,DJF,1991,0,0,0,0,90,0.0,0.0,
06203,DJF,1992,0,0,0,0,91,0.0,0.0,
06203,DJF,1993,0,0,0,0,90,0.0,0.0,
06203,DJF,1994,0,0,0,0,90,0.0,0.0,
06203,DJF,1995,0,0,0,0,90,0.0,0.0,
06203,DJF,1996,0,0,0,0,91,0.0,0.0,
06203,DJF,1997,0,0,0,0,90,0.0,0.0,
06203,DJF,1998,0,0,0,0,90,0.0,0.0,
06203,DJF,1999,0,0,0,0,90,0.0,0.0,
06203,DJF,2000,0,0,0,0,91,0.0,0.0,
06203,DJF,2001,0,0,0,0,90,0.0,0.0,
06203,DJF,2002,0,0,0,0,90,0.0,0.0,
06203,DJF,2003,0,0,0,0,90,0.0,0.0,
06203,DJF,2004,0,0,0,0,91,0.0,0.0,
06203,DJF,2005,0,0,0,0,90,0.0,0.0,
06203,DJF,2006,0,0,0,0,90,0.0,0.0,
06203,DJF,2007,0,0,0,0,90,0.0,0.0,
06203,DJF,2008,0,0,0,0,91,0.0,0.0,
06203,DJF,2009,0,0,0,0,90,0.0,0.0,
06203,DJF,2010,90,89,2149,2159,90,0.9888888888888889,1.0,0.9953682260305697
06203,DJF,2011,90,90,2159,2159,90,1.0,1.0,1.0
06203,DJF,2012,91,91,2177,2183,91,1.0,1.0,0.9972514887769125
06203,DJF,2013,90,90,2159,2159,90,1.0,1.0,1.0
06203,DJF,2014,90,90,2154,2159,90,1.0,1.0,0.9976841130152848
06203,DJF,2015,90,90,2156,2159,90,1.0,1.0,0.998610467809171
06203,DJF,2016,91,91,2183,2183,91,1.0,1.0,1.0
06203,DJF,2017,90,90,2159,2159,90,1.0,1.0,1.0
06203,DJF,2018,90,90,2159,2159,90,1.0,1.0,1.0
06203,DJF,2019,90,90,2159,2159,90,1.0,1.0,1.0
06203,DJF,2020,91,91,2183,2183,91,1.0,1.0,1.0
06203,DJF,2021,90,90,2159,2159,90,1.0,1.0,1.0
06203,DJF,2022,90,80,1934,2159,90,0.8888888888888888,1.0,0.8957850856878184
06203,DJF,2023,90,90,2159,2159,90,1.0,1.0,1.0
06203,DJF,2024,91,91,2183,2183,91,1.0,1.0,1.0
06203,DJF,2025,90,84,2029,2159,90,0.9333333333333333,1.0,0.9397869383974062
06203,JJA,1991,0,0,0,0,92,0.0,0.0,
06203,JJA,1992,0,0,0,0,92,0.0,0.0,
06203,JJA,1993,0,0,0,0,92,0.0,0.0,
06203,JJA,1994,0,0,0,0,92,0.0,0.0,
06203,JJA,1995,0,0,0,0,92,0.0,0.0,
06203,JJA,1996,0,0,0,0,92,0.0,0.0,
06203,JJA,1997,0,0,0,0,92,0.0,0.0,
06203,JJA,1998,0,0,0,0,92,0.0,0.0,
