year,n_months_present,n_stations,n_hours,n_fx_present,fx_missing_share
1951,12,14,116064,8760,0.9245244003308519
1952,12,14,122976,8784,0.9285714285714286
1953,12,14,122640,8760,0.9285714285714286
1954,12,14,122640,8760,0.9285714285714286
1955,12,14,122640,8760,0.9285714285714286
1956,12,15,124824,8760,0.9298211882330321
1957,12,15,122646,8760,0.9285749229489751
1958,12,15,131400,8760,0.9333333333333333
1959,12,15,131400,8760,0.9333333333333333
1960,12,15,131760,8784,0.9333333333333333
1961,12,15,131376,8559,0.934851114358787
1962,12,15,131400,8527,0.9351065449010655
1963,12,15,131400,8684,0.9339117199391171
1964,12,15,131760,8735,0.9337052216150576
1965,12,15,131400,8674,0.9339878234398782
1966,12,15,131400,8750,0.9334094368340944
1967,12,15,131400,8731,0.9335540334855403
1968,12,15,131760,8706,0.9339253187613843
1969,12,15,131400,8686,0.933896499238965
1970,12,15,131400,8721,0.9336301369863014
1971,12,18,157680,137485,0.12807584982242515
1972,12,19,166896,146879,0.1199369667337743
1973,12,19,166416,147406,0.11423180463416982
1974,12,19,166440,146108,0.12215813506368667
1975,12,19,166440,139517,0.16175799086757991
1976,12,19,166896,143341,0.14113579714313107
1977,12,19,166440,147643,0.11293559240567175
1978,12,19,166439,148007,0.11074327531407901
1979,12,19,166440,148022,0.11065849555395335
1980,12,19,166896,147085,0.11870266513277727
1981,12,23,201480,194563,0.03433095096287475
1982,12,24,210240,204141,0.029009703196346992
1983,12,25,219000,214434,0.02084931506849319
1984,12,25,219600,214918,0.021320582877959904
1985,12,25,219000,204339,0.06694520547945204
1986,12,26,225600,209284,0.07232269503546096
1987,12,26,227760,212195,0.0683394801545486
1988,12,26,228384,215984,0.05429452150763625
1989,12,31,242257,227097,0.06257817111579855
1990,12,34,286566,280173,0.02230899688029986
1991,12,38,326856,317849,0.027556477470200957
1992,12,38,333792,328666,0.015356868948327107
1993,12,39,339480,328216,0.033180157888535455
1994,12,42,359760,347097,0.0351984656437625
1995,12,43,370848,352843,0.048550888773837286
1996,12,45,386544,386544,0.0
1997,12,49,420528,417644,0.006858045124224832
1998,12,49,429240,424640,0.01071661541328861
1999,12,51,440640,430884,0.022140522875817026
2000,12,51,447984,437800,0.022732954748383882
2001,12,53,460704,454246,0.014017677293880704
2002,12,53,464280,453547,0.02311751529249595
2003,11,53,426120,414272,0.027804374354641892
2004,12,53,465552,445544,0.042976939203354325
2005,12,53,464256,454429,0.021167200854700807
2006,12,58,474696,460416,0.03008241063754491
2007,12,58,502848,461036,0.08315037546137205
2008,12,58,506040,469230,0.07274128527389134
2009,12,62,528528,506524,0.04163260981442796
2010,12,62,543120,530127,0.023922889969067662
2011,12,62,543120,527943,0.02794410075121523
2012,12,62,544608,527653,0.031132484282272777
2013,12,62,543120,532767,0.01906208572691115
2014,12,63,531168,514831,0.030756747394421358
2015,12,61,534360,521183,0.024659405644135046
2016,12,62,534672,514566,0.03760436304874759
2017,12,62,526464,513029,0.025519313761244833
2018,12,62,543120,529201,0.02562785388127853
2019,12,62,543120,531703,0.021021137133598433
2020,12,62,541679,520298,0.039471716643990296
2021,12,61,534360,505560,0.05389624971929041
2022,12,61,533616,512143,0.04024054750981976
2023,12,61,530400,517572,0.024185520361990953
2024,12,62,538489,522941,0.02887338460024258
2025,12,65,550967,530790,0.03662106804944765
2026,5,64,193536,189219,0.022305927579365115
