station,season,season_year,n_hours_present,n_value_present,n_hours_expected,present_share,value_share,station_id,stationname,station_type
06201,S,2009,2208,2202,2208,1.0,0.9972826086956522,06201,D15-FA-1,offshore
06201,S,2010,2208,1959,2208,1.0,0.8872282608695652,06201,D15-FA-1,offshore
06201,S,2011,2208,2208,2208,1.0,1.0,06201,D15-FA-1,offshore
06201,S,2012,2208,516,2208,1.0,0.23369565217391305,06201,D15-FA-1,offshore
06201,S,2013,2208,2204,2208,1.0,0.9981884057971014,06201,D15-FA-1,offshore
06201,S,2014,2208,2208,2208,1.0,1.0,06201,D15-FA-1,offshore
06201,S,2015,2208,2208,2208,1.0,1.0,06201,D15-FA-1,offshore
06201,S,2016,2208,2208,2208,1.0,1.0,06201,D15-FA-1,offshore
06201,S,2017,2208,2208,2208,1.0,1.0,06201,D15-FA-1,offshore
06201,S,2018,2208,2208,2208,1.0,1.0,06201,D15-FA-1,offshore
06201,S,2019,2208,2208,2208,1.0,1.0,06201,D15-FA-1,offshore
06201,S,2020,2208,2208,2208,1.0,1.0,06201,D15-FA-1,offshore
06201,S,2021,2208,2208,2208,1.0,1.0,06201,D15-FA-1,offshore
06201,S,2022,2208,2201,2208,1.0,0.9968297101449275,06201,D15-FA-1,offshore
06201,S,2023,2208,2208,2208,1.0,1.0,06201,D15-FA-1,offshore
06201,S,2024,2208,2208,2208,1.0,1.0,06201,D15-FA-1,offshore
06201,S,2025,2208,545,2208,1.0,0.24682971014492755,06201,D15-FA-1,offshore
06201,W,2010,2160,2160,2160,1.0,1.0,06201,D15-FA-1,offshore
06201,W,2011,2160,2160,2160,1.0,1.0,06201,D15-FA-1,offshore
06201,W,2012,2184,2184,2184,1.0,1.0,06201,D15-FA-1,offshore
06201,W,2013,2160,2160,2160,1.0,1.0,06201,D15-FA-1,offshore
06201,W,2014,2160,2160,2160,1.0,1.0,06201,D15-FA-1,offshore
06201,W,2015,2160,2160,2160,1.0,1.0,06201,D15-FA-1,offshore
06201,W,2016,2184,2184,2184,1.0,1.0,06201,D15-FA-1,offshore
06201,W,2017,2160,2160,2160,1.0,1.0,06201,D15-FA-1,offshore
06201,W,2018,2160,2160,2160,1.0,1.0,06201,D15-FA-1,offshore
