scenario,dist_bin,correct_direction_theta,correct_direction_chi_0.90,correct_direction_chi_0.95,correct_direction_chi_0.98
alternative,"(-0.001, 50.0]",1.0,1.0,1.0,0.9661290322580646
alternative,"(50.0, 100.0]",1.0,1.0,1.0,0.9858823529411764
alternative,"(100.0, 150.0]",1.0,1.0,1.0,0.99375
alternative,"(150.0, 200.0]",1.0,1.0,1.0,0.9967741935483871
alternative,"(200.0, 10000.0]",1.0,1.0,1.0,0.9970588235294118
null,"(-0.001, 50.0]",0.45806451612903226,0.5693548387096774,0.5338709677419354,0.40483870967741936
null,"(50.0, 100.0]",0.46588235294117647,0.6229411764705882,0.5347058823529411,0.4052941176470588
null,"(100.0, 150.0]",0.47897727272727275,0.6375,0.575,0.39829545454545456
null,"(150.0, 200.0]",0.5032258064516129,0.6290322580645161,0.5774193548387097,0.3870967741935484
null,"(200.0, 10000.0]",0.5617647058823529,0.663235294117647,0.5647058823529412,0.38823529411764707
