scenario,season,dist_bin,theta_hat_mean,theta_hat_std,theta_hat_count,theta_true_mean,theta_true_std,theta_true_count,chi_u_0.90_mean,chi_u_0.90_std,chi_u_0.90_count,chi_u_0.95_mean,chi_u_0.95_std,chi_u_0.95_count,chi_u_0.98_mean,chi_u_0.98_std,chi_u_0.98_count
alternative,summer,"(-0.001, 50.0]",1.2924747179910747,0.04374312084805221,620,1.2933520930071094,0.04285391205261777,620,0.7285765488991296,0.043770603191470504,620,0.7204951715635914,0.047812976596885215,620,0.7119047619047618,0.06206911916762571,620
alternative,summer,"(50.0, 100.0]",1.4189709664350925,0.03865470171625805,1700,1.4208068445483033,0.03775431056843246,1700,0.613266106442577,0.039880771175952116,1700,0.6004196328212813,0.0485439865226326,1700,0.5867787114845938,0.06828182219792818,1700
alternative,summer,"(100.0, 150.0]",1.5205790361482228,0.028876010135709743,1760,1.523083596864826,0.026664650217759055,1760,0.5216143578643578,0.03337728267010734,1760,0.5030833815865663,0.042176662328130825,1760,0.4900342712842713,0.06371078198447484,1760
alternative,summer,"(150.0, 200.0]",1.598109244127405,0.023177431536019335,1240,1.6016432187975127,0.02025468214460526,1240,0.4512672811059908,0.03046860415546842,1240,0.4301725909184303,0.04143232186837104,1240,0.41707629288274445,0.05889226301721334,1240
alternative,summer,"(200.0, 10000.0]",1.67240135726616,0.03010806855159754,680,1.6771377507275893,0.028053385431271186,680,0.3857749766573296,0.03464684742648574,680,0.36039715249156984,0.0452737668252743,680,0.3457749766573296,0.06303227296924149,680
alternative,winter,"(-0.001, 50.0]",1.1729253362224654,0.026102981958074867,620,1.1722001835581453,0.025846805320737805,620,0.8372503840245775,0.02932343921477882,620,0.8307889870556812,0.03324202919708248,620,0.8295698924731183,0.04680496173867804,620
alternative,winter,"(50.0, 100.0]",1.2524613128102644,0.02464844186645204,1700,1.251411406071449,0.02413662148206946,1700,0.76434360410831,0.029196733384554287,1700,0.7557362307980517,0.03542016253914511,1700,0.7499626517273577,0.05139874470132609,1700
alternative,winter,"(100.0, 150.0]",1.319984997261905,0.01904807444215317,1760,1.318859337500522,0.018249067912642386,1760,0.7011471861471861,0.026268701493091507,1760,0.6917161262304574,0.032347827170377264,1760,0.6832251082251082,0.05013594792758587,1760
alternative,winter,"(150.0, 200.0]",1.3753985727354712,0.016399040077517482,1240,1.3743238144750745,0.014863722555138606,1240,0.6508038914490528,0.024847693859548974,1240,0.6372303266899527,0.03365497014044629,1240,0.6296979006656427,0.05002394367375642,1240
alternative,winter,"(200.0, 10000.0]",1.4327888766553296,0.02375873349275043,680,1.4322786565206607,0.022725671175368056,680,0.598562091503268,0.029300704638225872,680,0.581566129636568,0.039256460549046565,680,0.5720121381886087,0.052443858664814075,680
null,summer,"(-0.001, 50.0]",1.2096859385210506,0.031451890248754326,620,1.2100232967272688,0.03131127433840146,620,0.7969943676395289,0.034960764962324066,620,0.790127388535032,0.04001562869440276,620,0.7931131592421915,0.05084062271242443,620
null,summer,"(50.0, 100.0]",1.3049576072855007,0.029741159465092103,1700,1.305261586538606,0.02881657640868707,1700,0.7056022408963586,0.03345927628478367,1700,0.6966092169351817,0.0404786992691483,1700,0.6968440709617181,0.054448301924637565,1700
null,summer,"(100.0, 150.0]",1.3853108223355506,0.022969392165643542,1760,1.3851610768410854,0.02141936402742965,1760,0.6317171717171718,0.029640399301754734,1760,0.6181492472495658,0.03760658480600613,1760,0.6201930014430014,0.056267854223953605,1760
null,summer,"(150.0, 200.0]",1.4507093231407437,0.02014026764726606,1240,1.4497537393497437,0.017144240388894713,1240,0.572926267281106,0.028461898528447827,1240,0.5566570782823095,0.03832366892564958,1240,0.5571428571428572,0.06075823905578047,1240
null,summer,"(200.0, 10000.0]",1.5173764182228602,0.029035770759105177,680,1.5158434135180765,0.025569544306355007,680,0.5132679738562091,0.03423102720298495,680,0.4948295241663544,0.04054245214331937,680,0.49185340802987865,0.06493921096462389,680
null,winter,"(-0.001, 50.0]",1.2103925343196853,0.031887493059129295,620,1.2100232967272688,0.03131127433840146,620,0.8033384536610343,0.03270305260344819,620,0.79466817341278,0.038974059099313695,620,0.7877880184331798,0.04912284655207538,620
null,winter,"(50.0, 100.0]",1.3056066716244812,0.029458275903322898,1700,1.305261586538606,0.02881657640868707,1700,0.7161923436041083,0.03349922257661549,1700,0.704859497939303,0.03983910044993521,1700,0.6892997198879552,0.05610394172394487,1700
null,winter,"(100.0, 150.0]",1.3855746612104094,0.02253470138124611,1760,1.3851610768410854,0.02141936402742965,1760,0.6430465367965368,0.029854946131233212,1760,0.6292342211928198,0.037595395520789526,1760,0.6082251082251081,0.05595384498749574,1760
null,winter,"(150.0, 200.0]",1.4502611742171365,0.018849441304495687,1240,1.4497537393497437,0.017144240388894713,1240,0.5847132616487456,0.028625427627832177,1240,0.5679833573042943,0.036465292491643826,1240,0.5453789042498719,0.05438201745234821,1240
null,winter,"(200.0, 10000.0]",1.5154230191873497,0.02712647162422409,680,1.5158434135180765,0.025569544306355007,680,0.52765639589169,0.03264216768909326,680,0.5047770700636942,0.042154786544980706,680,0.4829598506069094,0.06363311450171182,680
