i,j,station_i,station_j,name_i,name_j,dist_km
24,25,06343,06344,ROTTERDAM GEULHAVEN,ROTTERDAM THE HAGUE AP,11.970381205993222
19,20,06312,06316,OOSTERSCHELDE WP,OOSTERSCHELDE 4,13.297089779565683
17,18,06308,06310,CADZAND WP,VLISSINGEN AWS,16.501191590337264
23,24,06330,06343,HOEK VAN HOLLAND AWS,ROTTERDAM GEULHAVEN,17.109402673317962
19,22,06312,06320,OOSTERSCHELDE WP,LICHTEILAND GOEREE,17.999575042942208
26,28,06348,06356,CABAUW TOWER AWS,HERWIJNEN AWS,19.496500443473835
9,14,06277,06285,LAUWERSOOG AWS,HUIBERTGAT WP,22.33305879748671
23,25,06330,06344,HOEK VAN HOLLAND AWS,ROTTERDAM THE HAGUE AP,22.53140606251175
3,26,06260,06348,DE BILT AWS,CABAUW TOWER AWS,22.575522943730952
0,2,06225,06240,IJMUIDEN WP,AMSTERDAM/SCHIPHOL AP,22.66335682685928
18,20,06310,06316,VLISSINGEN AWS,OOSTERSCHELDE 4,24.786470012852252
3,28,06260,06356,DE BILT AWS,HERWIJNEN AWS,26.912466876447354
13,16,06283,06290,HUPSEL AWS,TWENTHE AWS,27.85703591064449
20,22,06316,06320,OOSTERSCHELDE 4,LICHTEILAND GOEREE,30.06763781940972
18,21,06310,06319,VLISSINGEN AWS,WESTDORPE AWS,30.33694339403392
22,23,06320,06330,LICHTEILAND GOEREE,HOEK VAN HOLLAND AWS,31.79164713431656
29,30,06370,06375,EINDHOVEN AP,VOLKEL,32.54978547440643
25,26,06344,06348,ROTTERDAM THE HAGUE AP,CABAUW TOWER AWS,32.82436246226165
27,29,06350,06370,GILZE RIJEN,EINDHOVEN AP,33.14298112525094
27,28,06350,06356,GILZE RIJEN,HERWIJNEN AWS,35.62809713159654
2,3,06240,06260,AMSTERDAM/SCHIPHOL AP,DE BILT AWS,35.99197266525385
18,19,06310,06312,VLISSINGEN AWS,OOSTERSCHELDE WP,36.215958498711686
6,9,06270,06277,LEEUWARDEN,LAUWERSOOG AWS,36.37859203745394
17,20,06308,06316,CADZAND WP,OOSTERSCHELDE 4,37.61187663972056
17,21,06308,06319,CADZAND WP,WESTDORPE AWS,37.690460482965925
5,7,06269,06273,LELYSTAD AP,MARKNESSE AWS,38.11162254824769
30,32,06375,06391,VOLKEL,ARCEN AWS,38.285511772260904
12,15,06280,06286,GRONINGEN AP EELDE,NIEUW BEERTA AWS,38.45089478133662
7,10,06273,06278,MARKNESSE AWS,HEINO AWS,38.92076200454483
2,26,06240,06348,AMSTERDAM/SCHIPHOL AP,CABAUW TOWER AWS,39.794791049845315
4,7,06267,06273,STAVOREN AWS,MARKNESSE AWS,40.226783129376045
1,4,06235,06267,DE KOOY VK,STAVOREN AWS,40.520087570655555
10,11,06278,06279,HEINO AWS,HOOGEVEEN AWS,40.907469085621926
9,12,06277,06280,LAUWERSOOG AWS,GRONINGEN AP EELDE,41.03056346308938
11,12,06279,06280,HOOGEVEEN AWS,GRONINGEN AP EELDE,41.67204839071178
19,23,06312,06330,OOSTERSCHELDE WP,HOEK VAN HOLLAND AWS,42.43327301719854
24,26,06343,06348,ROTTERDAM GEULHAVEN,CABAUW TOWER AWS,42.920062784623454
4,6,06267,06270,STAVOREN AWS,LEEUWARDEN,43.85576731044599
22,24,06320,06343,LICHTEILAND GOEREE,ROTTERDAM GEULHAVEN,44.234867239513235
28,30,06356,06375,HERWIJNEN AWS,VOLKEL,44.53817209508798
3,5,06260,06269,DE BILT AWS,LELYSTAD AP,44.81844650594616
26,27,06348,06350,CABAUW TOWER AWS,GILZE RIJEN,44.949805408614985
8,30,06275,06375,DEELEN,VOLKEL,45.48727889508274
2,25,06240,06344,AMSTERDAM/SCHIPHOL AP,ROTTERDAM THE HAGUE AP,46.03905406016586
17,19,06308,06312,CADZAND WP,OOSTERSCHELDE WP,46.14956202461514
7,11,06273,06279,MARKNESSE AWS,HOOGEVEEN AWS,46.46550497260439
10,16,06278,06290,HEINO AWS,TWENTHE AWS,46.51320982044924
20,23,06316,06330,OOSTERSCHELDE 4,HOEK VAN HOLLAND AWS,47.4819049817565
3,8,06260,06275,DE BILT AWS,DEELEN,47.580485367688695
28,29,06356,06370,HERWIJNEN AWS,EINDHOVEN AP,48.10921450817822
10,13,06278,06283,HEINO AWS,HUPSEL AWS,48.938848827015455
25,28,06344,06356,ROTTERDAM THE HAGUE AP,HERWIJNEN AWS,49.25295699669596
20,21,06316,06319,OOSTERSCHELDE 4,WESTDORPE AWS,49.31710494640225
19,24,06312,06343,OOSTERSCHELDE WP,ROTTERDAM GEULHAVEN,49.47030946102897
8,10,06275,06278,DEELEN,HEINO AWS,49.756837449386765
