season,season_year,date,observed_stations,extreme_stations,extreme_share,any_extreme
S,1991,1991-06-01,32,0,0.0,False
S,1991,1991-06-02,32,0,0.0,False
S,1991,1991-06-03,32,6,0.1875,True
S,1991,1991-06-04,32,3,0.09375,True
S,1991,1991-06-05,32,0,0.0,False
S,1991,1991-06-06,32,0,0.0,False
S,1991,1991-06-07,32,0,0.0,False
S,1991,1991-06-08,32,0,0.0,False
S,1991,1991-06-09,32,0,0.0,False
S,1991,1991-06-10,32,13,0.40625,True
S,1991,1991-06-11,32,0,0.0,False
S,1991,1991-06-12,32,6,0.1875,True
S,1991,1991-06-13,32,29,0.90625,True
S,1991,1991-06-14,32,2,0.0625,True
S,1991,1991-06-15,32,15,0.46875,True
S,1991,1991-06-16,32,23,0.71875,True
S,1991,1991-06-17,32,0,0.0,False
S,1991,1991-06-18,31,0,0.0,False
S,1991,1991-06-19,31,0,0.0,False
S,1991,1991-06-20,32,0,0.0,False
S,1991,1991-06-21,32,0,0.0,False
S,1991,1991-06-22,32,0,0.0,False
S,1991,1991-06-23,32,2,0.0625,True
S,1991,1991-06-24,32,1,0.03125,True
S,1991,1991-06-25,33,1,0.030303030303030304,True
S,1991,1991-06-26,33,9,0.2727272727272727,True
S,1991,1991-06-27,33,1,0.030303030303030304,True
S,1991,1991-06-28,32,2,0.0625,True
S,1991,1991-06-29,32,0,0.0,False
S,1991,1991-06-30,32,1,0.03125,True
S,1991,1991-07-01,33,0,0.0,False
S,1991,1991-07-02,33,2,0.06060606060606061,True
S,1991,1991-07-03,32,0,0.0,False
S,1991,1991-07-04,32,0,0.0,False
S,1991,1991-07-05,33,0,0.0,False
S,1991,1991-07-06,33,0,0.0,False
S,1991,1991-07-07,33,1,0.030303030303030304,True
S,1991,1991-07-08,33,1,0.030303030303030304,True
S,1991,1991-07-09,33,0,0.0,False
S,1991,1991-07-10,33,0,0.0,False
S,1991,1991-07-11,33,8,0.24242424242424243,True
S,1991,1991-07-12,32,7,0.21875,True
S,1991,1991-07-13,32,1,0.03125,True
S,1991,1991-07-14,32,0,0.0,False
S,1991,1991-07-15,32,0,0.0,False
S,1991,1991-07-16,33,0,0.0,False
S,1991,1991-07-17,32,0,0.0,False
S,1991,1991-07-18,32,1,0.03125,True
S,1991,1991-07-19,33,0,0.0,False
S,1991,1991-07-20,32,0,0.0,False
S,1991,1991-07-21,32,0,0.0,False
S,1991,1991-07-22,33,0,0.0,False
S,1991,1991-07-23,33,0,0.0,False
S,1991,1991-07-24,33,5,0.15151515151515152,True
S,1991,1991-07-25,33,0,0.0,False
S,1991,1991-07-26,33,0,0.0,False
S,1991,1991-07-27,33,0,0.0,False
S,1991,1991-07-28,32,0,0.0,False
S,1991,1991-07-29,33,0,0.0,False
S,1991,1991-07-30,33,0,0.0,False
S,1991,1991-07-31,33,0,0.0,False
S,1991,1991-08-01,33,0,0.0,False
S,1991,1991-08-02,33,0,0.0,False
S,1991,1991-08-03,32,0,0.0,False
S,1991,1991-08-04,32,0,0.0,False
S,1991,1991-08-05,33,0,0.0,False
S,1991,1991-08-06,33,0,0.0,False
S,1991,1991-08-07,33,0,0.0,False
S,1991,1991-08-08,33,0,0.0,False
S,1991,1991-08-09,33,0,0.0,False
S,1991,1991-08-10,33,0,0.0,False
S,1991,1991-08-11,33,0,0.0,False
S,1991,1991-08-12,32,0,0.0,False
S,1991,1991-08-13,32,0,0.0,False
S,1991,1991-08-14,32,0,0.0,False
S,1991,1991-08-15,32,0,0.0,False
S,1991,1991-08-16,32,0,0.0,False
S,1991,1991-08-17,31,6,0.1935483870967742,True
S,1991,1991-08-18,30,1,0.03333333333333333,True
S,1991,1991-08-19,32,0,0.0,False
S,1991,1991-08-20,32,0,0.0,False
S,1991,1991-08-21,33,0,0.0,False
S,1991,1991-08-22,33,0,0.0,False
S,1991,1991-08-23,33,1,0.030303030303030304,True
S,1991,1991-08-24,33,2,0.06060606060606061,True
S,1991,1991-08-25,33,0,0.0,False
S,1991,1991-08-26,33,0,0.0,False
S,1991,1991-08-27,33,0,0.0,False
S,1991,1991-08-28,32,0,0.0,False
S,1991,1991-08-29,33,0,0.0,False
S,1991,1991-08-30,33,0,0.0,False
