station,name,lat,lon
6225,IJMUIDEN WP,52.4622,4.555
6235,DE KOOY VK,52.9269,4.7811
6240,AMSTERDAM/SCHIPHOL AP,52.3172,4.7897
6260,DE BILT AWS,52.0989,5.1797
6267,STAVOREN AWS,52.8967,5.3833
6269,LELYSTAD AP,52.4483,5.5081
6270,LEEUWARDEN,53.2231,5.7517
6273,MARKNESSE AWS,52.7019,5.8875
6275,DEELEN,52.0547,5.8722
6277,LAUWERSOOG AWS,53.4117,6.1992
6278,HEINO AWS,52.4344,6.2589
6279,HOOGEVEEN AWS,52.7489,6.5731
6280,GRONINGEN AP EELDE,53.1236,6.5847
6283,HUPSEL AWS,52.0678,6.6567
6285,HUIBERTGAT WP,53.5739,6.3983
6286,NIEUW BEERTA AWS,53.1944,7.1492
6290,TWENTHE AWS,52.2731,6.8908
6308,CADZAND WP,51.38,3.3792
6310,VLISSINGEN AWS,51.4414,3.5958
6312,OOSTERSCHELDE WP,51.7667,3.6217
6316,OOSTERSCHELDE 4,51.6558,3.6939
6319,WESTDORPE AWS,51.2247,3.8611
6320,LICHTEILAND GOEREE,51.9258,3.67
6330,HOEK VAN HOLLAND AWS,51.9911,4.1217
6343,ROTTERDAM GEULHAVEN,51.8919,4.3125
6344,ROTTERDAM THE HAGUE AP,51.9606,4.4469
6348,CABAUW TOWER AWS,51.9692,4.9258
6350,GILZE RIJEN,51.565,4.9353
6356,HERWIJNEN AWS,51.8578,5.1453
6370,EINDHOVEN AP,51.4497,5.3769
6375,VOLKEL,51.6586,5.7067
6380,MAASTRICHT AACHEN AP,50.9053,5.7619
6391,ARCEN AWS,51.4972,6.1961
